occ_acs,acs_occ_title,occ_soc,bls_occ_title,educ_req_nbr,educ_req_emp,allocc_emp,pct
3550,Other healthcare practitioners and technical occupations,29-9099,"Healthcare practitioners and technical workers, all other",3,55680,121640,.45774415
3550,Other healthcare practitioners and technical occupations,29-9021,Health information technologists and medical registrars,4,34430,121640,.28304833
3550,Other healthcare practitioners and technical occupations,29-9091,Athletic trainers,6,31530,121640,.25920749
3840,Fish and game wardens and parking enforcement officers,33-3041,Parking enforcement workers,2,7420,13710,.54121077
3840,Fish and game wardens and parking enforcement officers,33-3031,Fish and game wardens,5,6290,13710,.4587892
9040,Air traffic controllers and airfield operations specialists,53-2021,Air traffic controllers,4,22310,40630,.54910165
9040,Air traffic controllers and airfield operations specialists,53-2022,Airfield operations specialists,2,18320,40630,.45089835
1860,Other social scientists,19-3099,"Social scientists and related workers, all other",5,36670,64090,.57216412
1860,Other social scientists,19-3022,Survey researchers,6,27420,64090,.42783585
9130,Driver/sales workers and truck drivers,53-3032,Heavy and tractor-trailer truck drivers,3,2044400,3511480,.58220464
9130,Driver/sales workers and truck drivers,53-3033,Light truck drivers,2,1467080,3511480,.41779536
6600,"Helpers, construction trades",47-3013,Helpers--electricians,2,113970,191690,.59455371
6600,"Helpers, construction trades",47-3019,"Helpers, construction trades, all other",1,77720,191690,.40544629
3960,Other protective service workers,33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",1,123560,206060,.59963119
3960,Other protective service workers,33-9099,"Protective service workers, all other",2,82500,206060,.40036884
2400,"Archivists, curators, and museum technicians",25-4012,Curators,6,19660,32330,.60810393
2400,"Archivists, curators, and museum technicians",25-4013,Museum technicians and conservators,5,12670,32330,.39189607
6400,Insulation workers,47-2131,"Insulation workers, floor, ceiling, and wall",1,38510,61360,.62760758
6400,Insulation workers,47-2132,"Insulation workers, mechanical",2,22850,61360,.37239245
9030,Aircraft pilots and flight engineers,53-2011,"Airline pilots, copilots, and flight engineers",5,93670,146420,.63973498
9030,Aircraft pilots and flight engineers,53-2012,Commercial pilots,3,52750,146420,.36026499
4525,Other personal appearance workers,39-5093,Shampooers,1,7360,11490,.64055699
4525,Other personal appearance workers,39-5091,"Makeup artists, theatrical and performance",3,4130,11490,.35944298
2555,Other educational instruction and library workers,25-9031,Instructional coordinators,6,215380,328870,.65490925
2555,Other educational instruction and library workers,25-9099,"Educational instruction and library workers, all other",5,113490,328870,.34509078
4255,Other grounds maintenance workers,37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",2,23520,35500,.66253519
4255,Other grounds maintenance workers,37-3019,"Grounds maintenance workers, all other",1,11980,35500,.33746478
1970,"Other life, physical, and social science technicians",19-4099,"Life, physical, and social science technicians, all other",4,100970,149380,.67592716
1970,"Other life, physical, and social science technicians",19-4061,Social science research assistants,5,48410,149380,.32407284
2360,Other teachers and instructors,25-3031,"Substitute teachers, short-term",5,599710,871820,.68788284
2360,Other teachers and instructors,25-3021,Self-enrichment teachers,2,272110,871820,.31211719
2905,Other media and communication equipment workers,27-4011,Audio and video technicians,3,90820,128440,.70710057
2905,Other media and communication equipment workers,27-4012,Broadcast technicians,4,26190,128440,.20390844
2905,Other media and communication equipment workers,27-4099,"Media and communication equipment workers, all other",2,11430,128440,.088990971
3620,Physical therapist assistants and aides,31-2021,Physical therapist assistants,4,104000,146390,.71043104
3620,Physical therapist assistants and aides,31-2022,Physical therapist aides,2,42390,146390,.28956896
2025,Other community and social service specialists,21-1099,"Community and social service specialists, all other",5,153110,211660,.72337711
2025,Other community and social service specialists,21-1094,Community health workers,2,58550,211660,.27662289
2740,Dancers and choreographers,27-2031,Dancers,1,11510,15700,.73312104
2740,Dancers and choreographers,27-2032,Choreographers,2,4190,15700,.26687899
1610,Biological scientists,19-1029,"Biological scientists, all other",5,99860,133040,.75060135
1610,Biological scientists,19-1021,Biochemists and biophysicists,7,33180,133040,.24939868
3430,Dietetic technicians and ophthalmic medical technicians,29-2057,Ophthalmic medical technicians,3,73390,97630,.75171566
3430,Dietetic technicians and ophthalmic medical technicians,29-2051,Dietetic technicians,4,24240,97630,.24828434
7430,Precision instrument and equipment repairers,49-9062,Medical equipment repairers,4,64400,85320,.75480545
7430,Precision instrument and equipment repairers,49-9069,"Precision instrument and equipment repairers, all other",2,20920,85320,.24519455
9300,"Sailors and marine oilers, and ship engineers",53-5011,Sailors and marine oilers,1,29960,38820,.77176714
9300,"Sailors and marine oilers, and ship engineers",53-5031,Ship engineers,3,8860,38820,.22823288
2300,Preschool and kindergarten teachers,25-2011,"Preschool teachers, except special education",4,430240,548820,.78393644
2300,Preschool and kindergarten teachers,25-2012,"Kindergarten teachers, except special education",5,118580,548820,.21606356
9365,Transportation service attendants,53-6031,Automotive and watercraft service attendants,1,92530,117470,.78769046
9365,Transportation service attendants,53-6032,Aircraft service attendants,2,24940,117470,.21230952
6950,Other extraction workers,47-5081,Helpers--extraction workers,2,14480,18090,.80044222
6950,Other extraction workers,47-5051,"Rock splitters, quarry",1,3610,18090,.19955777
230,Education and childcare administrators,11-9032,"Education administrators, kindergarten through secondary",6,469850,584630,.8036707
230,Education and childcare administrators,11-9031,"Education and childcare administrators, preschool and daycare",5,114780,584630,.1963293
4850,"Sales representatives, wholesale and manufacturing",41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",2,1288920,1600700,.80522269
4850,"Sales representatives, wholesale and manufacturing",41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",5,311780,1600700,.19477728
7240,Small engine mechanics,49-3053,Outdoor power equipment and other small engine mechanics,2,59310,73640,.80540466
7240,Small engine mechanics,49-3052,Motorcycle mechanics,3,14330,73640,.19459532
3330,Nuclear medicine technologists and medical dosimetrists,29-2033,Nuclear medicine technologists,4,16560,20460,.80938417
3330,Nuclear medicine technologists and medical dosimetrists,29-2036,Medical dosimetrists,5,3900,20460,.19061583
1050,Computer support specialists,15-1232,Computer user support specialists,3,689700,848420,.81292284
1050,Computer support specialists,15-1231,Computer network support specialists,4,158720,848420,.18707715
1980,Occupational health and safety specialists and technicians,19-5011,Occupational health and safety specialists,5,122300,149570,.81767732
1980,Occupational health and safety specialists and technicians,19-5012,Occupational health and safety technicians,2,27270,149570,.18232265
2205,Postsecondary teachers,25-1071,"Health specialties teachers, postsecondary",7,1181440,1394120,.84744501
2205,Postsecondary teachers,25-1194,"Career/technical education teachers, postsecondary",5,111180,1394120,.079749234
2205,Postsecondary teachers,25-1121,"Art, drama, and music teachers, postsecondary",6,101500,1394120,.072805785
1240,Other mathematical science occupations,15-2051,Data scientists,5,197030,229200,.85964221
1240,Other mathematical science occupations,15-2041,Statisticians,6,32170,229200,.14035776
3750,Fire inspectors,33-2021,Fire inspectors and investigators,3,14200,16470,.86217368
3750,Fire inspectors,33-2022,Forest fire inspectors and prevention specialists,2,2270,16470,.13782635
335,Entertainment and recreation managers,11-9072,"Entertainment and recreation managers, except gambling",5,29690,34280,.8661027
335,Entertainment and recreation managers,11-9071,Gambling managers,2,4590,34280,.13389732
7905,Computer numerically controlled tool operators and programmers,51-9161,Computer numerically controlled tool operators,2,187670,215700,.87005103
7905,Computer numerically controlled tool operators and programmers,51-9162,Computer numerically controlled tool programmers,3,28030,215700,.129949
2600,Artists and related workers,27-1011,Art directors,5,92050,105300,.87416905
2600,Artists and related workers,27-1019,"Artists and related workers, all other",1,13250,105300,.12583096
8710,Cutting workers,51-9032,"Cutting and slicing machine setters, operators, and tenders",2,52720,59940,.87954623
8710,Cutting workers,51-9031,"Cutters and trimmers, hand",1,7220,59940,.12045379
1650,Other life scientists,19-1042,"Medical scientists, except epidemiologists",7,136620,154340,.88518852
1650,Other life scientists,19-1041,Epidemiologists,6,10230,154340,.066282235
1650,Other life scientists,19-1099,"Life scientists, all other",5,7490,154340,.048529223
3545,Miscellaneous health technologists and technicians,29-2099,"Health technologists and technicians, all other",3,171110,190180,.89972657
3545,Miscellaneous health technologists and technicians,29-2092,Hearing aid specialists,2,10250,190180,.053896308
3545,Miscellaneous health technologists and technicians,29-2091,Orthotists and prosthetists,6,8820,190180,.046377115
2545,Teaching assistants,25-9045,"Teaching assistants, except postsecondary",3,1337320,1483280,.90159649
2545,Teaching assistants,25-9044,"Teaching assistants, postsecondary",5,145960,1483280,.098403536
7100,"Other electrical and electronic equipment mechanics, installers, and repairers",49-2094,"Electrical and electronics repairers, commercial and industrial equipment",3,91030,99930,.91093767
7100,"Other electrical and electronic equipment mechanics, installers, and repairers",49-2096,"Electronic equipment installers and repairers, motor vehicles",2,8900,99930,.089062341
3610,Occupational therapy assistants and aides,31-2011,Occupational therapy assistants,4,46090,50520,.91231197
3610,Occupational therapy assistants and aides,31-2012,Occupational therapy aides,2,4430,50520,.087688044
4461,"Embalmers, crematory operators and funeral attendants",39-4021,Funeral attendants,2,35840,39220,.91381949
4461,"Embalmers, crematory operators and funeral attendants",39-4011,Embalmers,4,3380,39220,.086180523
8650,"Crushing, grinding, polishing, mixing, and blending workers",51-9023,"Mixing and blending machine setters, operators, and tenders",2,131950,144240,.9147948
8650,"Crushing, grinding, polishing, mixing, and blending workers",51-9022,"Grinding and polishing workers, hand",1,12290,144240,.085205212
6850,Underground mining machine operators,47-5041,Continuous mining machine operators,1,23420,25380,.92277384
6850,Underground mining machine operators,47-5043,"Roof bolters, mining",2,1960,25380,.077226162
4435,Other entertainment attendants and related workers,39-3091,Amusement and recreation attendants,1,364290,392630,.92782009
4435,Other entertainment attendants and related workers,39-3093,"Locker room, coatroom, and dressing room attendants",2,28340,392630,.072179914
7020,Radio and telecommunications equipment installers and repairers,49-2022,"Telecommunications equipment installers and repairers, except line installers",3,159670,171480,.93112898
7020,Radio and telecommunications equipment installers and repairers,49-2021,"Radio, cellular, and tower equipment installers and repairers",4,11810,171480,.068871006
8810,Painting workers,51-9124,"Coating, painting, and spraying machine setters, operators, and tenders",2,155880,166580,.93576658
8810,Painting workers,51-9123,"Painting, coating, and decorating workers",1,10700,166580,.0642334
7640,"Other installation, maintenance, and repair workers",49-9099,"Installation, maintenance, and repair workers, all other",2,187970,200560,.93722576
7640,"Other installation, maintenance, and repair workers",49-9081,Wind turbine service technicians,3,12590,200560,.062774234
440,Other managers,11-9199,"Managers, all other",5,589750,628930,.93770373
440,Other managers,11-9131,Postmasters and mail superintendents,2,24980,628930,.039718252
440,Other managers,11-9171,Funeral home managers,4,14200,628930,.022578029
5350,Correspondence clerks and order clerks,43-4151,Order clerks,3,91830,96480,.95180351
5350,Correspondence clerks and order clerks,43-4021,Correspondence clerks,2,4650,96480,.048196517
9570,"Conveyor, dredge, and hoist and winch operators",53-7011,Conveyor operators and tenders,1,26890,27830,.96622348
9570,"Conveyor, dredge, and hoist and winch operators",53-7031,Dredge operators,2,940,27830,.033776499
5940,Other office and administrative support workers,43-9199,"Office and administrative support workers, all other",2,172020,177240,.97054839
5940,Other office and administrative support workers,43-9031,Desktop publishers,4,5220,177240,.029451592
540,"Claims adjusters, appraisers, examiners, and investigators",13-1031,"Claims adjusters, examiners, and investigators",2,293780,302450,.9713341
540,"Claims adjusters, appraisers, examiners, and investigators",13-1032,"Insurance appraisers, auto damage",3,8670,302450,.028665895
2100,"Lawyers, and judges, magistrates, and other judicial workers",23-1011,Lawyers,7,770480,777540,.99092007
2100,"Lawyers, and judges, magistrates, and other judicial workers",23-1022,"Arbitrators, mediators, and conciliators",5,7060,777540,.0090799183
6250,"Cement masons, concrete finishers, and terrazzo workers",47-2051,Cement masons and concrete finishers,1,203560,205020,.99287874
6250,"Cement masons, concrete finishers, and terrazzo workers",47-2053,Terrazzo workers and finishers,2,1460,205020,.0071212566
6050,Other agricultural workers,45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",1,326270,327630,.99584895
6050,Other agricultural workers,45-2021,Animal breeders,2,1360,327630,.0041510239
630,Human resources workers,13-1071,Human resources specialists,5,958770,959230,.99952042
630,Human resources workers,13-1074,Farm labor contractors,1,460,959230,.00047955129
4020,Cooks,35-2014,"Cooks, restaurant",1,2666500,2667240,.99972254
4020,Cooks,35-2013,"Cooks, private household",3,740,2667240,.00027744035
6115,Fishing and hunting workers,45-3031,Fishing and hunting workers,1,0,0,
